Start Date,End Date,Variables,Market,Spend
01-01-2019,07-01-2019,Affiliates,x,0
01-01-2019,07-01-2019,Affiliates,x,0
01-01-2019,07-01-2019,Affiliates,x,0
01-01-2019,07-01-2019,Affiliates,x,0
01-01-2019,07-01-2019,Audio,x,0
01-01-2019,07-01-2019,Audio,x,0
01-01-2019,07-01-2019,Audio,x,0
01-01-2019,07-01-2019,Audio,x,0
01-01-2019,07-01-2019,Email,x,1675.78
01-01-2019,07-01-2019,Email,x,7011.8
01-01-2019,07-01-2019,Email,x,5554.29
01-01-2019,07-01-2019,Email,x,6528.95
01-01-2019,07-01-2019,Leaflets,x,0
01-01-2019,07-01-2019,Leaflets,x,0
01-01-2019,07-01-2019,Leaflets,x,0
01-01-2019,07-01-2019,Leaflets,x,0
01-01-2019,07-01-2019,OLA,x,0
01-01-2019,07-01-2019,OLA,x,0
01-01-2019,07-01-2019,OLA,x,0
01-01-2019,07-01-2019,OLA,x,0
01-01-2019,07-01-2019,OLV,x,0
01-01-2019,07-01-2019,OLV,x,0
01-01-2019,07-01-2019,OLV,x,0
01-01-2019,07-01-2019,OLV,x,0
01-01-2019,07-01-2019,OOH,x,0
01-01-2019,07-01-2019,OOH,x,0
01-01-2019,07-01-2019,OOH,x,0
01-01-2019,07-01-2019,OOH,x,0
01-01-2019,07-01-2019,Paid Search,x,11984.67
01-01-2019,07-01-2019,Paid Search,x,111405.42
01-01-2019,07-01-2019,Paid Search,x,89425.95
01-01-2019,07-01-2019,Paid Search,x,10545.73
01-01-2019,07-01-2019,Paid Social,x,6825.21
01-01-2019,07-01-2019,Paid Social,x,40244.05
01-01-2019,07-01-2019,Paid Social,x,105345.21
01-01-2019,07-01-2019,Paid Social,x,10797.95
01-01-2019,07-01-2019,Radio,x,0
01-01-2019,07-01-2019,Radio,x,0
01-01-2019,07-01-2019,Radio,x,0
01-01-2019,07-01-2019,Radio,x,0
01-01-2019,07-01-2019,SMS,x,0
01-01-2019,07-01-2019,SMS,x,0
01-01-2019,07-01-2019,SMS,x,0
01-01-2019,07-01-2019,SMS,x,0
01-01-2019,07-01-2019,TV,x,0
01-01-2019,07-01-2019,TV,x,0
01-01-2019,07-01-2019,TV,x,0
01-01-2019,07-01-2019,TV,x,0
08-01-2019,14-01-2019,Affiliates,x,0
08-01-2019,14-01-2019,Affiliates,x,0
08-01-2019,14-01-2019,Affiliates,x,0
08-01-2019,14-01-2019,Affiliates,x,0
08-01-2019,14-01-2019,Audio,x,0
08-01-2019,14-01-2019,Audio,x,0
08-01-2019,14-01-2019,Audio,x,0
08-01-2019,14-01-2019,Audio,x,0
08-01-2019,14-01-2019,Email,x,2040.65
08-01-2019,14-01-2019,Email,x,8516.66
08-01-2019,14-01-2019,Email,x,6715.95
08-01-2019,14-01-2019,Email,x,8580.83
08-01-2019,14-01-2019,Leaflets,x,0
08-01-2019,14-01-2019,Leaflets,x,0
08-01-2019,14-01-2019,Leaflets,x,0
08-01-2019,14-01-2019,Leaflets,x,0
08-01-2019,14-01-2019,OLA,x,0
08-01-2019,14-01-2019,OLA,x,0
08-01-2019,14-01-2019,OLA,x,0
08-01-2019,14-01-2019,OLA,x,0
08-01-2019,14-01-2019,OLV,x,0
08-01-2019,14-01-2019,OLV,x,0
08-01-2019,14-01-2019,OLV,x,0
08-01-2019,14-01-2019,OLV,x,0
08-01-2019,14-01-2019,OOH,x,0
08-01-2019,14-01-2019,OOH,x,0
08-01-2019,14-01-2019,OOH,x,0
08-01-2019,14-01-2019,OOH,x,0
08-01-2019,14-01-2019,Paid Search,x,12339.61
08-01-2019,14-01-2019,Paid Search,x,119083.89
08-01-2019,14-01-2019,Paid Search,x,90489.31
08-01-2019,14-01-2019,Paid Search,x,5123.46
08-01-2019,14-01-2019,Paid Social,x,9824.73
08-01-2019,14-01-2019,Paid Social,x,60988.4
08-01-2019,14-01-2019,Paid Social,x,144890.37
08-01-2019,14-01-2019,Paid Social,x,3755.56
08-01-2019,14-01-2019,Radio,x,4186.64
08-01-2019,14-01-2019,Radio,x,8191.62
08-01-2019,14-01-2019,Radio,x,4248.62
08-01-2019,14-01-2019,Radio,x,922.68
08-01-2019,14-01-2019,SMS,x,0
08-01-2019,14-01-2019,SMS,x,0
08-01-2019,14-01-2019,SMS,x,0
08-01-2019,14-01-2019,SMS,x,0
08-01-2019,14-01-2019,TV,x,0
08-01-2019,14-01-2019,TV,x,0
08-01-2019,14-01-2019,TV,x,0
08-01-2019,14-01-2019,TV,x,0
15-01-2019,21-01-2019,Affiliates,x,0
15-01-2019,21-01-2019,Affiliates,x,0
15-01-2019,21-01-2019,Affiliates,x,0
15-01-2019,21-01-2019,Affiliates,x,0
15-01-2019,21-01-2019,Audio,x,0
15-01-2019,21-01-2019,Audio,x,0
15-01-2019,21-01-2019,Audio,x,0
15-01-2019,21-01-2019,Audio,x,0
15-01-2019,21-01-2019,Email,x,2287.41
15-01-2019,21-01-2019,Email,x,9594.8
15-01-2019,21-01-2019,Email,x,7343.48
15-01-2019,21-01-2019,Email,x,10130.84
15-01-2019,21-01-2019,Leaflets,x,0
15-01-2019,21-01-2019,Leaflets,x,0
15-01-2019,21-01-2019,Leaflets,x,0
15-01-2019,21-01-2019,Leaflets,x,0
15-01-2019,21-01-2019,OLA,x,0
15-01-2019,21-01-2019,OLA,x,0
15-01-2019,21-01-2019,OLA,x,0
15-01-2019,21-01-2019,OLA,x,0
15-01-2019,21-01-2019,OLV,x,0
15-01-2019,21-01-2019,OLV,x,0
15-01-2019,21-01-2019,OLV,x,0
15-01-2019,21-01-2019,OLV,x,0
15-01-2019,21-01-2019,OOH,x,0
15-01-2019,21-01-2019,OOH,x,0
15-01-2019,21-01-2019,OOH,x,0
15-01-2019,21-01-2019,OOH,x,0
15-01-2019,21-01-2019,Paid Search,x,13250.13
15-01-2019,21-01-2019,Paid Search,x,132406.4
15-01-2019,21-01-2019,Paid Search,x,72455.66
15-01-2019,21-01-2019,Paid Search,x,5037.62
15-01-2019,21-01-2019,Paid Social,x,11169.39
15-01-2019,21-01-2019,Paid Social,x,74882.11
15-01-2019,21-01-2019,Paid Social,x,124345.6
15-01-2019,21-01-2019,Paid Social,x,2992.35
15-01-2019,21-01-2019,Radio,x,6980.63
15-01-2019,21-01-2019,Radio,x,13986.76
15-01-2019,21-01-2019,Radio,x,6358.82
15-01-2019,21-01-2019,Radio,x,0
15-01-2019,21-01-2019,SMS,x,1447.16
15-01-2019,21-01-2019,SMS,x,14637.94
15-01-2019,21-01-2019,SMS,x,8750.81
15-01-2019,21-01-2019,SMS,x,4290.09
15-01-2019,21-01-2019,TV,x,0
15-01-2019,21-01-2019,TV,x,0
15-01-2019,21-01-2019,TV,x,0
15-01-2019,21-01-2019,TV,x,0
22-01-2019,28-01-2019,Affiliates,x,0
22-01-2019,28-01-2019,Affiliates,x,0
22-01-2019,28-01-2019,Affiliates,x,0
22-01-2019,28-01-2019,Affiliates,x,0
22-01-2019,28-01-2019,Audio,x,0
22-01-2019,28-01-2019,Audio,x,0
22-01-2019,28-01-2019,Audio,x,0
22-01-2019,28-01-2019,Audio,x,0
22-01-2019,28-01-2019,Email,x,2368.42
22-01-2019,28-01-2019,Email,x,9997.11
22-01-2019,28-01-2019,Email,x,7936.13
22-01-2019,28-01-2019,Email,x,11176.68
22-01-2019,28-01-2019,Leaflets,x,0
22-01-2019,28-01-2019,Leaflets,x,0
22-01-2019,28-01-2019,Leaflets,x,0
22-01-2019,28-01-2019,Leaflets,x,0
22-01-2019,28-01-2019,OLA,x,0
22-01-2019,28-01-2019,OLA,x,0
22-01-2019,28-01-2019,OLA,x,0
22-01-2019,28-01-2019,OLA,x,0
22-01-2019,28-01-2019,OLV,x,0
22-01-2019,28-01-2019,OLV,x,0
22-01-2019,28-01-2019,OLV,x,0
22-01-2019,28-01-2019,OLV,x,0
22-01-2019,28-01-2019,OOH,x,0
22-01-2019,28-01-2019,OOH,x,0
22-01-2019,28-01-2019,OOH,x,0
22-01-2019,28-01-2019,OOH,x,0
